,mag,pm,n_se,n_false,n_meas,n_scmp,n_true,f_pur,f_dr,f_com,class_star,pm_filter
16,23-24,0.3,2,1,3,26,26,0.67,0.12,0.08,0.975,1.0
46,23-24,0.3,2,1,3,26,26,0.67,0.12,0.08,0.975,0.9
76,23-24,0.3,2,1,3,26,26,0.67,0.12,0.08,0.975,0.8
106,23-24,0.3,2,1,3,26,26,0.67,0.12,0.08,0.975,0.7
136,23-24,0.3,2,1,3,26,26,0.67,0.12,0.08,0.975,0.6
166,23-24,0.3,2,1,3,26,26,0.67,0.12,0.08,0.975,0.5
196,23-24,0.3,7,2,9,26,26,0.78,0.35,0.27,0.975,0.4
226,23-24,0.3,11,3,14,26,26,0.79,0.54,0.42,0.975,0.3
256,23-24,0.3,20,5,25,26,26,0.8,0.96,0.77,0.975,0.2
286,23-24,0.3,25,13,38,26,26,0.66,1.46,0.96,0.975,0.1
316,23-24,0.3,6,1,7,26,26,0.86,0.27,0.23,0.95,1.0
346,23-24,0.3,6,1,7,26,26,0.86,0.27,0.23,0.95,0.9
376,23-24,0.3,6,1,7,26,26,0.86,0.27,0.23,0.95,0.8
406,23-24,0.3,6,1,7,26,26,0.86,0.27,0.23,0.95,0.7
436,23-24,0.3,6,1,7,26,26,0.86,0.27,0.23,0.95,0.6
466,23-24,0.3,6,1,7,26,26,0.86,0.27,0.23,0.95,0.5
496,23-24,0.3,6,1,7,26,26,0.86,0.27,0.23,0.95,0.4
526,23-24,0.3,14,3,17,26,26,0.82,0.65,0.54,0.95,0.3
556,23-24,0.3,20,5,25,26,26,0.8,0.96,0.77,0.95,0.2
586,23-24,0.3,25,13,38,26,26,0.66,1.46,0.96,0.95,0.1
616,23-24,0.3,13,1,14,26,26,0.93,0.54,0.5,0.925,1.0
646,23-24,0.3,13,1,14,26,26,0.93,0.54,0.5,0.925,0.9
676,23-24,0.3,13,1,14,26,26,0.93,0.54,0.5,0.925,0.8
706,23-24,0.3,13,1,14,26,26,0.93,0.54,0.5,0.925,0.7
736,23-24,0.3,13,1,14,26,26,0.93,0.54,0.5,0.925,0.6
766,23-24,0.3,13,1,14,26,26,0.93,0.54,0.5,0.925,0.5
796,23-24,0.3,16,2,18,26,26,0.89,0.69,0.62,0.925,0.4
826,23-24,0.3,19,3,22,26,26,0.86,0.85,0.73,0.925,0.3
856,23-24,0.3,22,5,27,26,26,0.81,1.04,0.85,0.925,0.2
886,23-24,0.3,25,13,38,26,26,0.66,1.46,0.96,0.925,0.1
916,23-24,0.3,17,1,18,26,26,0.94,0.69,0.65,0.9,1.0
946,23-24,0.3,17,1,18,26,26,0.94,0.69,0.65,0.9,0.9
976,23-24,0.3,17,1,18,26,26,0.94,0.69,0.65,0.9,0.8
1006,23-24,0.3,17,1,18,26,26,0.94,0.69,0.65,0.9,0.7
1036,23-24,0.3,17,1,18,26,26,0.94,0.69,0.65,0.9,0.6
1066,23-24,0.3,17,1,18,26,26,0.94,0.69,0.65,0.9,0.5
1096,23-24,0.3,19,2,21,26,26,0.9,0.81,0.73,0.9,0.4
1126,23-24,0.3,21,3,24,26,26,0.88,0.92,0.81,0.9,0.3
1156,23-24,0.3,23,5,28,26,26,0.82,1.08,0.88,0.9,0.2
1186,23-24,0.3,25,13,38,26,26,0.66,1.46,0.96,0.9,0.1
1216,23-24,0.3,21,1,22,26,26,0.95,0.85,0.81,0.875,1.0
1246,23-24,0.3,21,1,22,26,26,0.95,0.85,0.81,0.875,0.9
1276,23-24,0.3,21,1,22,26,26,0.95,0.85,0.81,0.875,0.8
1306,23-24,0.3,21,1,22,26,26,0.95,0.85,0.81,0.875,0.7
1336,23-24,0.3,21,1,22,26,26,0.95,0.85,0.81,0.875,0.6
1366,23-24,0.3,21,1,22,26,26,0.95,0.85,0.81,0.875,0.5
1396,23-24,0.3,22,2,24,26,26,0.92,0.92,0.85,0.875,0.4
1426,23-24,0.3,23,3,26,26,26,0.88,1.0,0.88,0.875,0.3
1456,23-24,0.3,24,5,29,26,26,0.83,1.12,0.92,0.875,0.2
1486,23-24,0.3,25,13,38,26,26,0.66,1.46,0.96,0.875,0.1
1516,23-24,0.3,23,1,24,26,26,0.96,0.92,0.88,0.85,1.0
1546,23-24,0.3,23,1,24,26,26,0.96,0.92,0.88,0.85,0.9
1576,23-24,0.3,23,1,24,26,26,0.96,0.92,0.88,0.85,0.8
1606,23-24,0.3,23,1,24,26,26,0.96,0.92,0.88,0.85,0.7
1636,23-24,0.3,23,1,24,26,26,0.96,0.92,0.88,0.85,0.6
1666,23-24,0.3,23,1,24,26,26,0.96,0.92,0.88,0.85,0.5
1696,23-24,0.3,24,2,26,26,26,0.92,1.0,0.92,0.85,0.4
1726,23-24,0.3,24,3,27,26,26,0.89,1.04,0.92,0.85,0.3
1756,23-24,0.3,25,5,30,26,26,0.83,1.15,0.96,0.85,0.2
1786,23-24,0.3,25,13,38,26,26,0.66,1.46,0.96,0.85,0.1
1816,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.825,1.0
1846,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.825,0.9
1876,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.825,0.8
1906,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.825,0.7
1936,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.825,0.6
1966,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.825,0.5
1996,23-24,0.3,25,2,27,26,26,0.93,1.04,0.96,0.825,0.4
2026,23-24,0.3,25,3,28,26,26,0.89,1.08,0.96,0.825,0.3
2056,23-24,0.3,25,5,30,26,26,0.83,1.15,0.96,0.825,0.2
2086,23-24,0.3,25,13,38,26,26,0.66,1.46,0.96,0.825,0.1
2116,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.8,1.0
2146,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.8,0.9
2176,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.8,0.8
2206,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.8,0.7
2236,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.8,0.6
2266,23-24,0.3,24,1,25,26,26,0.96,0.96,0.92,0.8,0.5
2296,23-24,0.3,25,2,27,26,26,0.93,1.04,0.96,0.8,0.4
2326,23-24,0.3,25,3,28,26,26,0.89,1.08,0.96,0.8,0.3
2356,23-24,0.3,25,5,30,26,26,0.83,1.15,0.96,0.8,0.2
2386,23-24,0.3,25,13,38,26,26,0.66,1.46,0.96,0.8,0.1
2416,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.775,1.0
2446,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.775,0.9
2476,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.775,0.8
2506,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.775,0.7
2536,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.775,0.6
2566,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.775,0.5
2596,23-24,0.3,25,2,27,26,26,0.93,1.04,0.96,0.775,0.4
2626,23-24,0.3,25,3,28,26,26,0.89,1.08,0.96,0.775,0.3
2656,23-24,0.3,25,5,30,26,26,0.83,1.15,0.96,0.775,0.2
2686,23-24,0.3,25,13,38,26,26,0.66,1.46,0.96,0.775,0.1
2716,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.75,1.0
2746,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.75,0.9
2776,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.75,0.8
2806,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.75,0.7
2836,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.75,0.6
2866,23-24,0.3,25,1,26,26,26,0.96,1.0,0.96,0.75,0.5
2896,23-24,0.3,25,2,27,26,26,0.93,1.04,0.96,0.75,0.4
2926,23-24,0.3,25,3,28,26,26,0.89,1.08,0.96,0.75,0.3
2956,23-24,0.3,25,5,30,26,26,0.83,1.15,0.96,0.75,0.2
2986,23-24,0.3,25,13,38,26,26,0.66,1.46,0.96,0.75,0.1
3026,23-24,0.3,25,5,30,26,26,0.83,1.15,0.96,0.75,0.2
3056,23-24,0.3,25,13,38,26,26,0.66,1.46,0.96,0.75,0.1
